rank,CompanyNumber,CompanyName,score
35,08033357,SOLUTIONPATH LIMITED,0.3514567802891367
36,14519863,RENAISSANCE PHARMA LTD,0.3437549873669174
37,02091108,VELOCITI SOLUTIONS LIMITED,0.3384440684145962
38,08828281,AMTECH BUSINESS SOLUTIONS LIMITED,0.33843438850516516
39,02174882,HARDALL INTERNATIONAL LIMITED,0.33799552636812
40,06893253,BCN GROUP LTD.,0.33415098631124796
41,12068803,AIRBASE UK INTERIORS LTD,0.32951929058083246
42,05314495,CCL-FORENSICS LIMITED,0.32921806526498426
43,00941798,DALE POWER SOLUTIONS LIMITED,0.32921280141047615
44,07749953,FLOTECH PERFORMANCE SYSTEMS LTD,0.32875261447849896
45,02913195,SIGMA ASL LIMITED,0.327900982942224
46,07814100,CHORUS INTELLIGENCE LIMITED,0.3269565538836746
47,01413300,CAMSTAR HERBS LIMITED,0.32676856396194215
48,11769911,MORRIS LINE ENGINEERING LIMITED,0.3236900189431865
49,11805908,DIGITAL QUOTIENT SOLUTIONS LTD,0.32222901690622296
50,04797346,STEELSTRIP SERVICES LIMITED,0.3212094351482678
51,12576961,PRO HEALTH SOLUTIONS LTD,0.320973408558588
52,09511198,AUTUS UK LTD,0.3200932244137173
53,04171318,TGC INTERNATIONAL LIMITED,0.3188583619100538
54,06702659,FIRESEC COMPLIANCE LIMITED,0.31769074978887524
55,06901841,MA COST CONSULTING LIMITED,0.3164134097732371
56,14703270,PILLAR CONTRACTS LIMITED,0.3133795144884698
57,08174072,CHAMBURY CONSULTING LTD,0.31320497427132593
58,01459141,LEEC LIMITED,0.31014397690106477
59,07667393,THE NETWORKING PEOPLE (TNP) LIMITED,0.30991213728201916
60,12944003,WBR GROUP LIMITED,0.30990497456681876
61,15993216,SAGE MEDIEQUIP LIMITED,0.30844817768311794
62,13947887,3ML PROPERTIES LIMITED,0.30792460433914615
63,05672642,VIRTUE TECHNOLOGIES LIMITED,0.3076947548013175
64,03295323,AGENDA RESOURCE MANAGEMENT LIMITED,0.3072999504919584
65,14373641,DICE FM UK LTD,0.3072428793896398
66,12795105,AMBER LABS LIMITED,0.30700252460421434
67,14941588,SHERBET REWARDS & MOTIVATION TECHNOLOGIES LIMITED,0.30486325598681346
68,15084559,VICTORY CONVERSIONS LIMITED,0.3044841433520882
69,11099346,TRL SOFTWARE LIMITED,0.30420139153105014
70,07510381,KERV DIGITAL LIMITED,0.3031237234604187
71,02465785,THE BRECKS COMPANY LIMITED,0.30297258656097215
72,01421991,PRAYBOURNE LIMITED,0.30242816412752727
73,11843588,COURAGE GLOBAL SCHOOL LIMITED,0.30161689285062954
74,13303937,CT 13303937 LIMITED,0.300651790697187
75,07132859,INFORM BILLING SOLUTIONS LIMITED,0.2992171223914857
76,15371580,EKORN TECH LTD,0.29818800706999044
77,14505959,ABERGAVENNY FOOD AND WINES LTD,0.29812469520179274
78,14407269,WINNERS FIRST TRADING LIMITED,0.2940094986954053
79,10388935,INCIPER LIMITED,0.2936766918886452
80,15870805,FDOE PRODUCTIONS LTD,0.2921890726770927
81,12364000,HICOMPLY LTD,0.2909280927828479
82,07568924,IN THE ZONE LEYLAND LTD,0.29042672196122765
83,03113620,MAYCAST-NOKES PRECISION ENGINEERING LTD,0.2904257630729886
84,07753583,TWO CIRCLES LIMITED,0.29038711768859843
85,12686607,DE NOVO CONSULTING SERVICES LIMITED,0.2898295184394195
86,05556499,PORTARAMP (UK) LIMITED,0.2897397606136545
87,15242648,OMNIPRESENT LIFESTYLE LTD,0.28967285394701286
88,12149503,BRAIN LABS DC LIMITED,0.2894821943077492
89,10664256,NUTREE LIFE LTD,0.2868518629348434
90,08436329,ICKLE BUBBA LIMITED,0.28592747782241734
91,10771684,URBANCHAIN LTD,0.2856077720884933
92,10061045,GIACOM (CLOUD) HOLDINGS LIMITED,0.2848150515580346
93,16440463,INTELLISCAPE LIMITED,0.28452570819658923
94,02878530,SWIFT DENTAL LABORATORY LIMITED,0.2844069624971924
95,06714614,SAVVY IT LIMITED,0.2823182677553986
96,09681748,ELIXIR DISTILLERS LTD,0.28198900097118357
97,12434583,STRUTHERS ENERGY & POWER LIMITED,0.28181736014332415
98,02248449,INFORMATION AND DATA NETWORKS SUPPLIES LIMITED,0.28147147799838945
99,15368163,MAN PRODUCTIONS LIMITED,0.2809799744535375
100,15554147,EKHLAS 31 MALDON ROAD LTD,0.2800306922792549
